24/05/04 17:33:39 | INFO | root | Reading sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loaded 525 sequences from /work/ratul1/curwen/Lanmodulin-data/fasta/Half_designs.fasta
24/05/04 17:33:39 | INFO | root | Loading model
24/05/04 17:34:14 | INFO | root | Starting Predictions
24/05/04 17:34:20 | INFO | root | Predicted structure for 300_(ef4,ef2)_(WP_024878302-1,WP_244536190-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 57, pLDDT 86.3, pTM 0.728 in 0.3s (amortized, batch size 17). 1 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 25_(ef2,ef3)_(TMJ90498-1,WP_074826049-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 81.9, pTM 0.731 in 0.3s (amortized, batch size 17). 12 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 26_(ef2,ef3)_(TMJ90498-1,MCJ2031403-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 84.3, pTM 0.795 in 0.3s (amortized, batch size 17). 13 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 27_(ef2,ef3)_(TMJ90498-1,WP_238256066-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 84.3, pTM 0.795 in 0.3s (amortized, batch size 17). 14 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 28_(ef2,ef3)_(TMJ90498-1,WP_231346494-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 84.3, pTM 0.795 in 0.3s (amortized, batch size 17). 15 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 29_(ef2,ef3)_(TMJ90498-1,OLB71496-1)|('TMJ90498-1', 'head')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'linker2')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 86.4, pTM 0.813 in 0.3s (amortized, batch size 17). 16 / 525 completed.
24/05/04 17:34:20 | INFO | root | Predicted structure for 31_(ef2,ef3)_(WP_020174296-1,WP_048445733-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 74.0, pTM 0.646 in 0.3s (amortized, batch size 17). 17 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 32_(ef2,ef3)_(WP_020174296-1,WP_147081983-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 72.5, pTM 0.627 in 0.2s (amortized, batch size 17). 18 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 33_(ef2,ef3)_(WP_020174296-1,WP_091858554-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 74.8, pTM 0.663 in 0.2s (amortized, batch size 17). 19 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 34_(ef2,ef3)_(WP_020174296-1,WP_147080767-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 73.1, pTM 0.628 in 0.2s (amortized, batch size 17). 20 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 36_(ef2,ef3)_(WP_020174296-1,WP_012453714-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 76.6, pTM 0.675 in 0.2s (amortized, batch size 17). 21 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 38_(ef2,ef3)_(WP_020174296-1,WP_003601797-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 76.6, pTM 0.675 in 0.2s (amortized, batch size 17). 22 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 39_(ef2,ef3)_(WP_020174296-1,WP_026016174-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 73.6, pTM 0.666 in 0.2s (amortized, batch size 17). 23 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 40_(ef2,ef3)_(WP_020174296-1,WP_074826049-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 72.0, pTM 0.605 in 0.2s (amortized, batch size 17). 24 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 41_(ef2,ef3)_(WP_020174296-1,MCJ2031403-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 76.6, pTM 0.675 in 0.2s (amortized, batch size 17). 25 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 42_(ef2,ef3)_(WP_020174296-1,WP_238256066-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 76.6, pTM 0.675 in 0.2s (amortized, batch size 17). 26 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 43_(ef2,ef3)_(WP_020174296-1,WP_231346494-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 76.6, pTM 0.675 in 0.2s (amortized, batch size 17). 27 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 44_(ef2,ef3)_(WP_020174296-1,OLB71496-1)|('WP_020174296-1', 'head')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'linker2')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 83.8, pTM 0.754 in 0.2s (amortized, batch size 17). 28 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 61_(ef2,ef3)_(WP_184513836-1,WP_048445733-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 84.2, pTM 0.771 in 0.2s (amortized, batch size 17). 29 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 62_(ef2,ef3)_(WP_184513836-1,WP_147081983-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 82.6, pTM 0.767 in 0.2s (amortized, batch size 17). 30 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 63_(ef2,ef3)_(WP_184513836-1,WP_091858554-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 82.9, pTM 0.771 in 0.2s (amortized, batch size 17). 31 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 64_(ef2,ef3)_(WP_184513836-1,WP_147080767-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 79.0, pTM 0.712 in 0.2s (amortized, batch size 17). 32 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 66_(ef2,ef3)_(WP_184513836-1,WP_012453714-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 83.4, pTM 0.774 in 0.2s (amortized, batch size 17). 33 / 525 completed.
24/05/04 17:34:22 | INFO | root | Predicted structure for 68_(ef2,ef3)_(WP_184513836-1,WP_003601797-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 83.4, pTM 0.774 in 0.2s (amortized, batch size 17). 34 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 69_(ef2,ef3)_(WP_184513836-1,WP_026016174-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 78.4, pTM 0.729 in 0.2s (amortized, batch size 17). 35 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 70_(ef2,ef3)_(WP_184513836-1,WP_074826049-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 81.4, pTM 0.701 in 0.2s (amortized, batch size 17). 36 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 71_(ef2,ef3)_(WP_184513836-1,MCJ2031403-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 83.4, pTM 0.774 in 0.2s (amortized, batch size 17). 37 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 72_(ef2,ef3)_(WP_184513836-1,WP_238256066-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 83.4, pTM 0.774 in 0.2s (amortized, batch size 17). 38 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 73_(ef2,ef3)_(WP_184513836-1,WP_231346494-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 83.4, pTM 0.774 in 0.2s (amortized, batch size 17). 39 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 74_(ef2,ef3)_(WP_184513836-1,OLB71496-1)|('WP_184513836-1', 'head')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'linker2')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 85.2, pTM 0.796 in 0.2s (amortized, batch size 17). 40 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 106_(ef2,ef3)_(MBN9042672-1,WP_048445733-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_048445733-1', 'ef3')|('WP_048445733-1', 'tail') with length 58, pLDDT 73.8, pTM 0.482 in 0.2s (amortized, batch size 17). 41 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 107_(ef2,ef3)_(MBN9042672-1,WP_147081983-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_147081983-1', 'ef3')|('WP_147081983-1', 'tail') with length 58, pLDDT 76.4, pTM 0.509 in 0.2s (amortized, batch size 17). 42 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 108_(ef2,ef3)_(MBN9042672-1,WP_091858554-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_091858554-1', 'ef3')|('WP_091858554-1', 'tail') with length 58, pLDDT 77.2, pTM 0.543 in 0.2s (amortized, batch size 17). 43 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 109_(ef2,ef3)_(MBN9042672-1,WP_147080767-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_147080767-1', 'ef3')|('WP_147080767-1', 'tail') with length 58, pLDDT 75.8, pTM 0.484 in 0.2s (amortized, batch size 17). 44 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 111_(ef2,ef3)_(MBN9042672-1,WP_012453714-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_012453714-1', 'ef3')|('WP_012453714-1', 'tail') with length 58, pLDDT 75.2, pTM 0.492 in 0.2s (amortized, batch size 17). 45 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 113_(ef2,ef3)_(MBN9042672-1,WP_003601797-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_003601797-1', 'ef3')|('WP_003601797-1', 'tail') with length 58, pLDDT 75.2, pTM 0.492 in 0.2s (amortized, batch size 17). 46 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 114_(ef2,ef3)_(MBN9042672-1,WP_026016174-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_026016174-1', 'ef3')|('WP_026016174-1', 'tail') with length 58, pLDDT 73.5, pTM 0.463 in 0.2s (amortized, batch size 17). 47 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 115_(ef2,ef3)_(MBN9042672-1,WP_074826049-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_074826049-1', 'ef3')|('WP_074826049-1', 'tail') with length 58, pLDDT 71.5, pTM 0.485 in 0.2s (amortized, batch size 17). 48 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 116_(ef2,ef3)_(MBN9042672-1,MCJ2031403-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('MCJ2031403-1', 'ef3')|('MCJ2031403-1', 'tail') with length 58, pLDDT 75.2, pTM 0.492 in 0.2s (amortized, batch size 17). 49 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 117_(ef2,ef3)_(MBN9042672-1,WP_238256066-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_238256066-1', 'ef3')|('WP_238256066-1', 'tail') with length 58, pLDDT 75.2, pTM 0.492 in 0.2s (amortized, batch size 17). 50 / 525 completed.
24/05/04 17:34:25 | INFO | root | Predicted structure for 118_(ef2,ef3)_(MBN9042672-1,WP_231346494-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('WP_231346494-1', 'ef3')|('WP_231346494-1', 'tail') with length 58, pLDDT 75.2, pTM 0.492 in 0.2s (amortized, batch size 17). 51 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 119_(ef2,ef3)_(MBN9042672-1,OLB71496-1)|('MBN9042672-1', 'head')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'linker2')|('OLB71496-1', 'ef3')|('OLB71496-1', 'tail') with length 58, pLDDT 77.9, pTM 0.550 in 0.2s (amortized, batch size 17). 52 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 240_(ef1,ef2)_(MBI1981207-1,WP_244536190-1)|('MBI1981207-1', 'head')|('MBI1981207-1', 'ef1')|('MBI1981207-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 58, pLDDT 83.0, pTM 0.687 in 0.2s (amortized, batch size 17). 53 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 285_(ef1,ef2)_(WP_036280395-1,WP_244536190-1)|('WP_036280395-1', 'head')|('WP_036280395-1', 'ef1')|('WP_036280395-1', 'linker1')|('WP_244536190-1', 'ef2')|('WP_244536190-1', 'tail') with length 58, pLDDT 81.2, pTM 0.677 in 0.2s (amortized, batch size 17). 54 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 301_(ef4,ef2)_(WP_024878302-1,TMJ90498-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'tail') with length 58, pLDDT 84.3, pTM 0.705 in 0.2s (amortized, batch size 17). 55 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 302_(ef4,ef2)_(WP_024878302-1,WP_020174296-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'tail') with length 58, pLDDT 86.6, pTM 0.691 in 0.2s (amortized, batch size 17). 56 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 303_(ef4,ef2)_(WP_024878302-1,WP_099908472-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_099908472-1', 'ef2')|('WP_099908472-1', 'tail') with length 58, pLDDT 87.0, pTM 0.716 in 0.2s (amortized, batch size 17). 57 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 304_(ef4,ef2)_(WP_024878302-1,WP_184513836-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_184513836-1', 'ef2')|('WP_184513836-1', 'tail') with length 58, pLDDT 85.6, pTM 0.696 in 0.2s (amortized, batch size 17). 58 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 305_(ef4,ef2)_(WP_024878302-1,WP_183506314-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_183506314-1', 'ef2')|('WP_183506314-1', 'tail') with length 58, pLDDT 86.0, pTM 0.691 in 0.2s (amortized, batch size 17). 59 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 306_(ef4,ef2)_(WP_024878302-1,WP_092036464-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_092036464-1', 'ef2')|('WP_092036464-1', 'tail') with length 58, pLDDT 86.8, pTM 0.721 in 0.2s (amortized, batch size 17). 60 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 307_(ef4,ef2)_(WP_024878302-1,MBN9042672-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('MBN9042672-1', 'ef2')|('MBN9042672-1', 'tail') with length 58, pLDDT 86.3, pTM 0.724 in 0.2s (amortized, batch size 17). 61 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 308_(ef4,ef2)_(WP_024878302-1,NJM54704-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('NJM54704-1', 'ef2')|('NJM54704-1', 'tail') with length 58, pLDDT 84.2, pTM 0.717 in 0.2s (amortized, batch size 17). 62 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 309_(ef4,ef2)_(WP_024878302-1,WP_024519214-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_024519214-1', 'ef2')|('WP_024519214-1', 'tail') with length 58, pLDDT 83.8, pTM 0.681 in 0.2s (amortized, batch size 17). 63 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 310_(ef4,ef2)_(WP_024878302-1,WP_209296140-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_209296140-1', 'ef2')|('WP_209296140-1', 'tail') with length 58, pLDDT 84.0, pTM 0.700 in 0.2s (amortized, batch size 17). 64 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 311_(ef4,ef2)_(WP_024878302-1,WP_122402182-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_122402182-1', 'ef2')|('WP_122402182-1', 'tail') with length 58, pLDDT 84.0, pTM 0.700 in 0.2s (amortized, batch size 17). 65 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 312_(ef4,ef2)_(WP_024878302-1,WP_238286702-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_238286702-1', 'ef2')|('WP_238286702-1', 'tail') with length 58, pLDDT 87.4, pTM 0.729 in 0.2s (amortized, batch size 17). 66 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 313_(ef4,ef2)_(WP_024878302-1,WP_233385613-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_233385613-1', 'ef2')|('WP_233385613-1', 'tail') with length 58, pLDDT 85.0, pTM 0.695 in 0.2s (amortized, batch size 17). 67 / 525 completed.
24/05/04 17:34:28 | INFO | root | Predicted structure for 314_(ef4,ef2)_(WP_024878302-1,WP_026190475-1)|('WP_024878302-1', 'head')|('WP_024878302-1', 'ef4')|('WP_024878302-1', 'linker1')|('WP_026190475-1', 'ef2')|('WP_026190475-1', 'tail') with length 58, pLDDT 85.4, pTM 0.691 in 0.2s (amortized, batch size 17). 68 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 316_(ef4,ef2)_(WP_064033039-1,TMJ90498-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('TMJ90498-1', 'ef2')|('TMJ90498-1', 'tail') with length 58, pLDDT 81.9, pTM 0.663 in 0.2s (amortized, batch size 17). 69 / 525 completed.
24/05/04 17:34:31 | INFO | root | Predicted structure for 317_(ef4,ef2)_(WP_064033039-1,WP_020174296-1)|('WP_064033039-1', 'head')|('WP_064033039-1', 'ef4')|('WP_064033039-1', 'linker1')|('WP_020174296-1', 'ef2')|('WP_020174296-1', 'tail') with length 58, pLDDT 85.1, pTM 0.648 in 0.2s (amortized, batch size 17). 70 / 525 completed.
